iter	Passed	Remaining
0	12	12517
1	13	6616
2	13	4621
3	14	3622
4	15	3015
5	15	2616
6	16	2335
7	17	2126
8	17	1956
9	18	1814
10	18	1699
11	19	1602
12	20	1569
13	21	1512
14	22	1447
15	22	1389
16	23	1338
17	23	1293
18	24	1251
19	24	1214
20	25	1181
21	25	1152
22	26	1127
23	27	1101
24	27	1079
25	28	1057
26	28	1037
27	29	1017
28	29	1000
29	30	985
30	31	971
31	31	961
32	32	953
33	33	942
34	33	931
35	34	924
36	35	922
37	36	913
38	36	903
39	37	894
40	37	886
41	38	878
42	39	870
43	39	862
44	40	854
45	40	846
46	41	840
47	42	834
48	42	829
49	43	823
50	44	818
51	44	814
52	45	809
53	45	803
54	46	798
55	47	793
56	47	789
57	48	785
58	49	783
59	50	793
60	52	802
61	53	802
62	53	799
63	54	796
64	55	795
65	55	791
66	56	788
67	57	784
68	57	781
69	58	779
70	59	774
71	59	772
72	60	769
73	61	766
74	61	763
75	62	760
76	63	763
77	64	763
78	65	762
79	66	759
80	66	756
81	67	753
82	67	746
83	68	743
84	68	741
85	69	738
86	70	735
87	70	732
88	71	730
89	71	727
90	72	725
91	73	723
92	74	721
93	74	719
94	75	716
95	76	715
96	76	713
97	77	717
98	80	733
99	81	732
100	82	730
101	82	729
102	83	726
103	84	724
104	84	721
105	85	719
106	86	717
107	86	716
108	87	714
109	87	711
110	88	710
111	89	708
112	89	706
113	90	703
114	91	701
115	91	699
116	92	696
117	92	694
118	93	693
119	94	695
120	95	693
121	95	690
122	96	688
123	97	686
124	97	683
125	98	681
126	98	678
127	99	676
128	99	674
129	100	673
130	101	672
131	102	671
132	104	679
133	105	678
134	105	678
135	106	677
136	107	678
137	108	680
138	110	683
139	111	684
140	112	683
141	112	680
142	113	678
143	114	678
144	114	677
145	115	675
146	116	674
147	116	672
148	117	671
149	118	669
150	118	667
151	119	666
152	120	665
153	120	664
154	121	662
155	122	661
156	123	663
157	124	663
158	125	666
159	126	664
160	127	662
161	127	660
162	128	659
163	129	658
164	129	656
165	130	655
166	131	653
167	131	652
168	132	652
169	133	650
170	133	649
171	134	648
172	135	647
173	136	646
174	136	644
175	138	648
176	141	656
177	142	656
178	142	654
179	143	653
180	144	652
181	144	651
182	145	650
183	146	649
184	147	648
185	147	646
186	148	646
187	149	645
188	150	644
189	150	643
190	151	642
191	152	641
192	153	641
193	155	644
194	156	644
195	156	643
196	157	642
197	158	641
198	159	641
199	160	640
200	160	639
201	161	638
202	162	637
203	163	636
204	163	635
205	164	634
206	165	633
207	166	632
208	166	631
209	167	631
210	168	631
211	169	630
212	171	632
213	171	631
214	172	630
215	173	629
216	174	628
217	174	626
218	175	625
219	176	624
220	176	623
221	177	623
222	178	622
223	179	621
224	180	620
225	180	619
226	181	618
227	182	619
228	183	618
229	184	617
230	186	619
231	186	618
232	187	617
233	188	616
234	188	614
235	189	613
236	190	612
237	191	612
238	192	612
239	193	611
240	193	610
241	194	609
242	195	608
243	196	608
244	199	614
245	201	616
246	202	616
247	202	615
248	204	618
249	205	617
250	206	617
251	207	615
252	208	615
253	209	614
254	209	613
255	210	612
256	211	611
257	214	615
258	215	615
259	215	614
260	216	613
261	217	612
262	218	610
263	218	609
264	219	608
265	220	607
266	220	605
267	222	606
268	223	606
269	223	605
270	224	604
271	225	603
272	226	602
273	228	605
274	229	604
275	230	603
276	230	602
277	231	601
278	232	600
279	232	598
280	233	597
281	234	596
282	234	595
283	235	594
284	236	593
285	237	592
286	238	591
287	238	590
288	239	589
289	240	588
290	240	587
291	242	587
292	243	586
293	243	585
294	244	584
295	245	583
296	246	582
297	246	581
298	247	580
299	248	579
300	248	578
301	250	578
302	251	577
303	251	576
304	252	575
305	253	574
306	254	574
307	255	573
308	255	572
309	258	576
310	259	575
311	260	574
312	261	573
313	261	571
314	262	570
315	263	569
316	263	568
317	264	567
318	267	570
319	268	570
320	269	569
321	270	569
322	272	570
323	273	570
324	274	569
325	275	568
326	275	567
327	276	566
328	277	565
329	277	563
330	278	562
331	279	561
332	279	560
333	280	559
334	281	559
335	282	558
336	283	557
337	284	556
338	285	556
339	286	555
340	287	555
341	288	554
342	289	554
343	289	552
344	290	551
345	291	550
346	291	549
347	292	547
348	292	546
349	293	545
350	294	544
351	295	543
352	295	542
353	296	541
354	297	540
355	297	539
356	298	537
357	299	536
358	299	535
359	300	534
360	301	533
361	302	532
362	303	531
363	303	530
364	304	529
365	304	527
366	305	526
367	306	526
368	307	525
369	307	524
370	308	523
371	309	522
372	309	521
373	310	519
374	311	518
375	311	517
376	312	516
377	313	515
378	313	514
379	314	513
380	317	515
381	318	514
382	318	513
383	319	512
384	319	510
385	320	509
386	321	508
387	321	507
388	322	506
389	323	505
390	323	504
391	325	504
392	326	503
393	326	502
394	327	501
395	327	500
396	328	499
397	329	498
398	330	498
399	331	497
400	332	496
401	333	495
402	333	494
403	334	493
404	335	492
405	335	491
406	336	489
407	336	488
408	337	487
409	338	486
410	339	485
411	339	484
412	340	483
413	341	482
414	341	481
415	342	480
416	343	479
417	343	478
418	344	478
419	345	477
420	346	476
421	347	475
422	347	474
423	348	473
424	348	471
425	349	470
426	350	469
427	350	468
428	351	467
429	351	466
430	352	465
431	353	464
432	354	463
433	354	462
434	355	461
435	356	460
436	356	459
437	357	458
438	357	457
439	359	457
440	360	456
441	360	455
442	361	454
443	362	453
444	362	452
445	363	451
446	363	450
447	364	449
448	365	448
449	365	447
450	366	446
451	367	445
452	367	444
453	368	443
454	369	442
455	370	441
456	370	440
457	371	439
458	372	438
459	372	437
460	374	437
461	374	436
462	375	435
463	376	434
464	376	433
465	377	432
466	378	431
467	378	430
468	379	429
469	380	429
470	381	428
471	381	427
472	382	426
473	383	425
474	383	424
475	384	423
476	385	422
477	385	421
478	386	420
479	387	419
480	387	418
481	388	417
482	389	416
483	390	416
484	391	415
485	391	414
486	392	413
487	392	412
488	393	411
489	394	410
490	394	409
491	395	408
492	395	407
493	396	406
494	397	405
495	397	404
496	398	403
497	398	402
498	400	402
499	401	401
500	402	400
501	405	402
502	406	402
503	407	401
504	408	400
505	410	400
506	410	399
507	411	398
508	412	397
509	413	396
510	413	395
511	414	394
512	415	394
513	415	393
514	416	392
515	417	391
516	419	391
517	419	390
518	420	389
519	421	388
520	421	387
521	422	386
522	423	385
523	423	384
524	424	383
525	424	382
526	425	381
527	426	381
528	427	380
529	427	379
530	428	378
531	429	377
532	429	376
533	430	375
534	431	374
535	431	373
536	432	372
537	433	371
538	433	371
539	434	370
540	435	369
541	435	368
542	436	367
543	437	366
544	437	365
545	438	364
546	438	363
547	439	362
548	441	362
549	441	361
550	442	360
551	443	359
552	443	358
553	444	357
554	445	356
555	445	356
556	446	355
557	447	354
558	448	353
559	448	352
560	449	351
561	450	351
562	451	350
563	451	349
564	452	348
565	453	347
566	453	346
567	454	345
568	454	344
569	455	343
570	456	342
571	456	341
572	457	341
573	458	340
574	459	339
575	459	338
576	460	337
577	460	336
578	461	335
579	463	335
580	464	334
581	465	333
582	465	333
583	466	332
584	466	331
585	467	330
586	467	329
587	468	328
588	469	327
589	469	326
590	470	325
591	471	324
592	472	324
593	472	323
594	473	322
595	474	321
596	474	320
597	475	319
598	476	318
599	476	317
600	477	317
601	478	316
602	478	315
603	479	314
604	480	313
605	481	312
606	481	311
607	482	311
608	482	310
609	483	309
610	484	308
611	484	307
612	485	306
613	486	305
614	486	304
615	487	304
616	488	303
617	489	302
618	489	301
619	490	300
620	491	299
621	491	298
622	492	298
623	493	297
624	494	296
625	495	296
626	496	295
627	497	294
628	497	293
629	498	292
630	498	291
631	499	290
632	500	290
633	501	289
634	501	288
635	502	287
636	503	286
637	503	285
638	504	285
639	505	284
640	505	283
641	506	282
642	508	282
643	509	281
644	510	280
645	510	279
646	511	278
647	511	278
648	512	277
649	513	276
650	513	275
651	514	274
652	514	273
653	515	272
654	516	271
655	516	271
656	517	270
657	518	269
658	519	268
659	519	267
660	520	266
661	521	266
662	521	265
663	522	264
664	523	263
665	524	262
666	524	261
667	525	261
668	526	260
669	526	259
670	527	258
671	528	257
672	528	257
673	529	256
674	530	255
675	530	254
676	531	253
677	532	252
678	532	251
679	533	250
680	533	250
681	534	249
682	535	248
683	535	247
684	536	246
685	537	245
686	538	245
687	539	244
688	540	243
689	540	242
690	541	242
691	542	241
692	542	240
693	543	239
694	543	238
695	544	237
696	545	236
697	545	236
698	546	235
699	546	234
700	547	233
701	548	232
702	548	231
703	549	230
704	550	230
705	550	229
706	551	228
707	552	227
708	553	227
709	553	226
710	554	225
711	555	224
